Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
1111 Exploration Corp,ELVN,Mining,,,CAD,2021-08-19 04:00:00,https://thecse.com/en/listings/mining/1111-exploration-corp
1933 Industries Inc.,TGIF,Diversified Industries,US Cannabis,CSE Composite,CAD,2017-06-16 04:00:00,https://thecse.com/en/listings/diversified-industries/1933-industries-inc
37 Capital Inc.,JJJ.X,Mining,,,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/mining/37-capital-inc
4Front Ventures Corp.,FFNT,Life Sciences,US Cannabis,CSE25,CAD,2019-08-06 04:00:00,https://thecse.com/en/listings/life-sciences/4front-ventures-corp
4Front Ventures Corp. Wts,FFNT.WT,Life Sciences,US Cannabis,,CAD,2020-11-23 05:00:00,https://thecse.com/en/listings/life-sciences/4front-ventures-corp-wts
55 North Mining Inc.,FFF,Mining,,CSE Composite,CAD,2021-04-20 04:00:00,https://thecse.com/en/listings/mining/55-north-mining-inc
79 Resources Ltd.,SNR,Mining,,CSE Composite,CAD,2020-08-28 04:00:00,https://thecse.com/en/listings/mining/79-resources-ltd
79North Inc.,JQ,Mining,,CSE Composite,CAD,2020-06-16 04:00:00,https://thecse.com/en/listings/mining/79north-inc
ACME Lithium Inc.,ACME,Mining,,CSE Composite,CAD,2021-04-28 04:00:00,https://thecse.com/en/listings/mining/acme-lithium-inc
"Acreage Holdings, Inc. Fixed S.V.",ACRG.A.U,Life Sciences,US Cannabis,,USD,2018-11-15 05:00:00,"https://thecse.com/en/listings/life-sciences/acreage-holdings,-inc-fixed-sv"
"Acreage Holdings, Inc. Floating S.V.",ACRG.B.U,Life Sciences,US Cannabis,,USD,2020-09-23 04:00:00,"https://thecse.com/en/listings/life-sciences/acreage-holdings,-inc-floating-sv"
Adastra Holdings Ltd. (formerly was XTRX/Phyto Extractions Inc. until 2021-08-31),XTRX,Life Sciences,Cannabis,CSE Composite,CAD,2020-01-06 05:00:00,https://thecse.com/en/listings/life-sciences/adastra-holdings-ltd-(formerly-was-xtrx/phyto-extractions-inc-until-2021-08-31)
Aduro Clean Technologies Inc.,ACT,CleanTech,,CSE Composite,CAD,2021-04-29 04:00:00,https://thecse.com/en/listings/cleantech/aduro-clean-technologies-inc
Advance United Holdings Inc.,AUHI,Mining,,CSE Composite,CAD,2021-05-28 04:00:00,https://thecse.com/en/listings/mining/advance-united-holdings-inc
Advantagewon Oil Corp.,AOC,Oil and Gas,,CSE Composite,CAD,2017-07-13 04:00:00,https://thecse.com/en/listings/oil-and-gas/advantagewon-oil-corp
Advantex Marketing International Inc.,ADX,Diversified Industries,,,CAD,2015-09-17 04:00:00,https://thecse.com/en/listings/diversified-industries/advantex-marketing-international-inc
"Aether Catalyst Solutions, Inc.",ATHR,Technology,,CSE Composite,CAD,2019-04-11 04:00:00,"https://thecse.com/en/listings/technology/aether-catalyst-solutions,-inc"
Affinor Growers Inc.,AFI,Life Sciences,,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/life-sciences/affinor-growers-inc
Agra Ventures Ltd,AGRA,Life Sciences,Cannabis,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/life-sciences/agra-ventures-ltd
AI-ML Innovations Inc.,AIML,Life Sciences,,CSE Composite,CAD,2021-01-11 05:00:00,https://thecse.com/en/listings/life-sciences/ai-ml-innovations-inc
Aion Therapeutic Inc.,AION,Life Sciences,Cannabis,,CAD,2019-02-21 05:00:00,https://thecse.com/en/listings/life-sciences/aion-therapeutic-inc
AJN Resources Inc.,AJN,Mining,,CSE Composite,CAD,2018-06-12 04:00:00,https://thecse.com/en/listings/mining/ajn-resources-inc
Albert Labs International Corp.,ABRT,Life Sciences,,,CAD,2022-03-10 05:00:00,https://thecse.com/en/listings/life-sciences/albert-labs-international-corp
Alchemist Mining Inc.,AMS.X,Mining,,,CAD,2015-09-04 04:00:00,https://thecse.com/en/listings/mining/alchemist-mining-inc
Alerio Gold Corp.,ALE,Mining,,CSE Composite,CAD,2021-11-03 04:00:00,https://thecse.com/en/listings/mining/alerio-gold-corp
Algernon Pharmaceuticals Inc.,AGN,Life Sciences,,CSE Composite,CAD,2016-02-01 05:00:00,https://thecse.com/en/listings/life-sciences/algernon-pharmaceuticals-inc
Alliance Growers Corp.,ACG,Life Sciences,Cannabis,,CAD,2015-10-16 04:00:00,https://thecse.com/en/listings/life-sciences/alliance-growers-corp
Alma Gold Inc.,ALMA,Mining,,,CAD,2021-10-07 04:00:00,https://thecse.com/en/listings/mining/alma-gold-inc
Alpha Copper Corp (formerly was NUGT/Alpha Copper Corp until 2022-01-04),ALCU,Mining,,CSE Composite,CAD,2019-08-09 04:00:00,https://thecse.com/en/listings/mining/alpha-copper-corp-(formerly-was-nugt/alpha-copper-corp-until-2022-01-04)
Alpha Metaverse Technologies Inc (formerly was ALPA/Alpha Esports Tech Inc. until 2022-01-11),ALPA,Technology,,CSE Composite,CAD,2021-05-14 04:00:00,https://thecse.com/en/listings/technology/alpha-metaverse-technologies-inc-(formerly-was-alpa/alpha-esports-tech-inc-until-2022-01-11)
Alternate Health Corp.,AHG,Life Sciences,US Cannabis,,CAD,2017-01-24 05:00:00,https://thecse.com/en/listings/life-sciences/alternate-health-corp
American Aires Inc.,WIFI,Technology,,CSE Composite,CAD,2019-11-07 05:00:00,https://thecse.com/en/listings/technology/american-aires-inc
American Pacific Mining Corp.,USGD,Mining,,CSE Composite,CAD,2018-03-08 05:00:00,https://thecse.com/en/listings/mining/american-pacific-mining-corp
Ameriwest Lithium Inc. (formerly was ALI/Ameriwest Lithium Inc. until 2021-04-15),AWLI,Mining,,CSE Composite,CAD,2020-07-24 04:00:00,https://thecse.com/en/listings/mining/ameriwest-lithium-inc-(formerly-was-ali/ameriwest-lithium-inc-until-2021-04-15)
AmmPower Corp (formerly was SOLD/Soldera Mining Corp until 2021-04-22),AMMP,Technology,,CSE Composite,CAD,2020-10-06 04:00:00,https://thecse.com/en/listings/technology/ammpower-corp-(formerly-was-sold/soldera-mining-corp-until-2021-04-22)
AMPD Ventures Inc.,AMPD,Technology,,CSE Composite,CAD,2019-10-24 04:00:00,https://thecse.com/en/listings/technology/ampd-ventures-inc
ApartmentLove Inc.,APLV,Technology,,CSE Composite,CAD,2021-08-30 04:00:00,https://thecse.com/en/listings/technology/apartmentlove-inc
