symbol,name,price,priceChange,percentChange,exchangeName,exShortName,exchangeCode,marketPlace,sector,industry,volume,openPrice,dayHigh,dayLow,MarketCap,MarketCapAllClasses,peRatio,prevClose,dividendFrequency,dividendYield,dividendAmount,dividendCurrency,beta,eps,exDividendDate,shortDescription,longDescription,website,email,phoneNumber,fullAddress,employees,shareOutStanding,totalDebtToEquity,totalSharesOutStanding,sharesESCROW,vwap,dividendPayDate,weeks52high,weeks52low,alpha,averageVolume10D,averageVolume30D,averageVolume50D,priceToBook,priceToCashFlow,returnOnEquity,returnOnAssets,day21MovingAvg,day50MovingAvg,day200MovingAvg,dividend3Years,dividend5Years,datatype,__typename
AW.UN,A&W Revenue Royalties Income Fund Trust Units,29.53,0.57,1.968232,Toronto Stock Exchange,TSX,TSX,,Consumer Cyclical,Restaurants,6843,28.96,29.71,28.91,415329794,415329794,14.6,28.96,Monthly,4.144,0.1,CAD,1.145989,1.97000002,2020-09-14 00:00:00.0,"A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W...","A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W trade-marks used in the A&W quick service restaurant business in Canada. The company has opened approximately 32 locations, bringing the total number of A&W restaurants to approximately 854, of which almost 845 are franchised and nine are owned and operated corporately. It has granted A&W Food Services of Canada Inc, a license to use the A&W trade-marks to market Root Beer in cans and bottles to the retail grocery trad as well as its acts as a franchisor of hamburger quick service restaurants in Canada.",http://www.awincomefund.ca,investorrelations@aw.ca,+1 604 988-2141,"300 - 171 West Esplanade, North Vancouver, BC, CA",,14064673,,14064673,,29.3101587,2020-09-30,39.65,16.75,0.002335,15727,15662.0,21443.0,-3.383,11.1,-30.24,-0.91,28.49762,28.41508,30.50342,0.55,3.21,equity,Company
AW.UN,A&W Revenue Royalties Income Fund Trust Units,29.53,0.57,1.968232,Toronto Stock Exchange,TSX,TSX,,Consumer Cyclical,Restaurants,6843,28.96,29.71,28.91,415329794,415329794,14.6,28.96,Monthly,4.144,0.1,CAD,1.145989,1.97000002,2020-09-14 00:00:00.0,"A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W...","A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W trade-marks used in the A&W quick service restaurant business in Canada. The company has opened approximately 32 locations, bringing the total number of A&W restaurants to approximately 854, of which almost 845 are franchised and nine are owned and operated corporately. It has granted A&W Food Services of Canada Inc, a license to use the A&W trade-marks to market Root Beer in cans and bottles to the retail grocery trad as well as its acts as a franchisor of hamburger quick service restaurants in Canada.",http://www.awincomefund.ca,investorrelations@aw.ca,+1 604 988-2141,"300 - 171 West Esplanade, North Vancouver, BC, CA",,14064673,,14064673,,29.3101587,2020-09-30,39.65,16.75,0.002335,15727,15662.0,21443.0,-3.383,11.1,-30.24,-0.91,28.49762,28.41508,30.50342,0.55,3.21,equity,Company
AAB,Aberdeen International Inc.,0.05,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Financial Services,Asset Management,0,,,,5602615,5602615,0.8,0.05,,,,,1.377651,0.059999998,,Aberdeen International Inc is a resource investment company and merchant bank. It focuses on small capitalization companies in the metals and mining sector.,Aberdeen International Inc is a resource investment company and merchant bank. It focuses on small capitalization companies in the metals and mining sector. The company seeks to acquire equity participation in pre-IPO and early stage public resource companies with undeveloped or undervalued high-quality resources.,http://www.aberdeeninternational.ca,dstein@aberdeeninternational.ca,+1 416 861-5882,"65 Queen Street West, Suite 815, P.O. Box 75, Toronto, ON, CA",10,112052282,0.02,112052282,,0.05,,0.095,0.015,0.000503,140872,158375.0,464360.0,0.185,2.5,20.51,19.62,0.05357,0.0656,0.0426,,,equity,Company
ADN,Acadian Timber Corp.,16.24,0.08,0.49505,Toronto Stock Exchange,TSX,TSX,,Basic Materials,Forest Products,890,16.2,16.24,16.2,270995516,270995516,39.4,16.16,Quarterly,7.178,0.29,CAD,0.913693,0.409999996,2020-09-29 00:00:00.0,Acadian Timber Corp is a Canada-based supplier of primary forest products in Eastern Canada and the Northeastern United States. The firm has approximately 2.,"Acadian Timber Corp is a Canada-based supplier of primary forest products in Eastern Canada and the Northeastern United States. The firm has approximately 2.4 million acres of land under management, Acadian timberland is the operators in New Brunswick and Maine. It generates a majority of its revenue from New Brunswick. The company's product includes softwood and hardwood sawlogs, pulpwood and biomass by-products.",http://www.acadiantimber.com,kwhite@acadiantimber.com,+1 604 661-9143,"1055 West Georgia Street, Suite 1800, PO Box 11179, Vancouver, BC, CA",78,16686916,0.38,16686916,,16.2199997,2020-10-15,18.62,11.11,0.000872,5794,8250.0,9153.0,0.947,1239.4,2.37,1.37,16.51238,15.9534,14.92268,2.58,5.48,equity,Company
ACD,Accord Financial Corp.,5.45,0.07,1.301115,Toronto Stock Exchange,TSX,TSX,,Financial Services,Credit Services,200,5.45,5.45,5.45,46809576,46646076,44.8,5.38,Quarterly,3.717,0.05,CAD,2.022622,0.119999997,2020-08-13 00:00:00.0,Accord Financial Corp is a provider of asset-based financial services to businesses.,"Accord Financial Corp is a provider of asset-based financial services to businesses. Its asset-based financial services include asset-based lending, including factoring, lease financing, working capital financing, credit protection and receivables management, and supply chain financing for importers. The company's revenue comprises interest, including discount fees, and factoring commissions from the company's asset-based financial services, including factoring and leasing, and is measured at the fair value of the consideration received. The group has a business presence in the United States and Canada.",https://www.accordfinancial.com,sadair@accordfinancial.com,+1 800 967-0015,"40 Eglinton Avenue East, Suite 602, Toronto, ON, CA",189,8588913,2.66,8558913,,5.45,2020-09-01,10.15,3.51,-0.006805,2265,2141.0,1627.0,0.514,0.6,1.15,0.27,5.87476,6.07388,6.95221,-1.94,-0.18,equity,Company
AT,AcuityAds Holdings Inc.,3.31,0.21,6.774194,Toronto Stock Exchange,TSX,TSX,,Communication Services,Interactive Media,186990,3.15,3.33,3.12,164569166,164238166,,3.1,,,,,2.088091,-0.009999999,,AcuityAds Holdings Inc is active in the technology sector based in the United States. Its business includes the provision of a web-based platform for advertisers to connect to their end-users.,"AcuityAds Holdings Inc is active in the technology sector based in the United States. Its business includes the provision of a web-based platform for advertisers to connect to their end-users. The programmatic marketing platform includes Acuity's machine learning technology that uses data for real-time advertising on social media. It caters mainly to small to mid-sized businesses. It also distributes its products in Canada, Europe, Middle-East, and Africa.",http://www.acuityads.com,,+1 416 218-9888,"181 Bay Street, Brookfield Place, Suite 320, Bay Wellington Tower, Toronto, ON, CA",168,49718781,1.92,49618781,0.0,3.20113316,,3.14,0.72,0.031015,458527,343141.0,360823.0,12.731,7.1,-5.46,-1.24,2.43048,1.9946,1.4198,,,equity,Company
DRX,ADF Group Inc. Subordinate Voting Shares,1.2,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Industrials,Industrial Products,0,,,,21950519,39162248,,1.2,Semi-Annual,1.667,0.01,CAD,1.357669,-0.119999997,2020-09-29 00:00:00.0,"ADF Group Inc involves in the design and engineering of connections, fabrication, including industrial coating, and the installation of steel structures and steel built-ups, as well as miscellaneous...","ADF Group Inc involves in the design and engineering of connections, fabrication, including industrial coating, and the installation of steel structures and steel built-ups, as well as miscellaneous and architectural metalwork. The company's products and services intended for the five principal segments of the non-residential construction industry: Office towers and high-rises, Commercial and recreational buildings, Airport facilities, Industrial complexes, and Transport infrastructures. It serves the client base in the non-residential construction industry, such as general contractors, project owners, engineering firms and project architects, and other steel structure fabricators. The company operates in the United States and Canada.",https://www.adfgroup.com,infos@adfgroup.com,+1 450 965-1911,"300, rue Henry-Bessemer, Terrebonne, QC, CA",568,18292099,0.37,32635206,,1.177154,2020-10-16,1.45,0.55,-0.009655,7308,4690.0,5926.0,0.408,2.5,-3.7,-1.95,1.09286,1.1154,1.06075,0,0,equity,Company
AAV,Advantage Oil & Gas Ltd.,1.8,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Energy,Oil & Gas,36206,1.83,1.84,1.8,337635620,338603035,,1.8,,,,,2.171505,-1.69000005,,Advantage Oil & Gas Ltd is an intermediate natural gas and liquids development and production company based out of Canada.,Advantage Oil & Gas Ltd is an intermediate natural gas and liquids development and production company based out of Canada. It operates a portion of assets located in the Montney resource play in Western Canada. Development and delineation is the company's primary focus with delineation conducted through drilling and testing wells throughout the Montney.,http://www.advantageog.com,ir@advantageog.com,+1 403 718-8000,"440 - 2 Avenue SW, Suite 2200, Calgary, AB, CA",38,187575344,0.34,188112797,,1.81657458,,2.94,0.98,-0.016841,952329,762564.0,730456.0,0.327,3,-26.2,-18.81,2.08619,1.863,2.01975,,,equity,Company
ARE,Aecon Group Inc.,14.23,0.24,1.715511,Toronto Stock Exchange,TSX,TSX,,Industrials,Construction,18030,14.08,14.25,14.08,852039849,852039849,20.3,13.99,Quarterly,4.575,0.16,CAD,0.827376,0.730000019,2020-09-21 00:00:00.0,Aecon Group Inc is a Canada-based company that operates in two major segments: Construction and Concessions.,"Aecon Group Inc is a Canada-based company that operates in two major segments: Construction and Concessions. The Construction segment includes various aspects of the construction of public and private infrastructure projects, mainly in the transportation sector. Its concessions segment is primarily engaged in the development, financing, construction, and operation of infrastructure projects. Aecon generates the majority of its revenue from the Construction segment.",http://www.aecon.com,aecon@aecon.com,+1 416 297-2600,"20 Carlson Court, Suite 800, Toronto, ON, CA",5158,59876307,0.98,59876307,,14.1457954,2020-10-02,19.32,10.94,0.004766,229434,282104.0,273259.0,1.06,5.8,5.44,1.44,14.5819,14.5944,15.23256,6.68,8.42,equity,Company
AEZS,AEterna Zentaris Inc.,0.48,-0.03,-5.882353,Toronto Stock Exchange,TSX,TSX,,Healthcare,Biotechnology,43092,0.49,0.49,0.48,25671487,30085735,,0.51,,,,,2.077158,-0.810000002,,AEterna Zentaris Inc is a biopharmaceutical company commercializing & developing therapeutics & diagnostic tests.,"AEterna Zentaris Inc is a biopharmaceutical company commercializing & developing therapeutics & diagnostic tests. The company's product, Macrilen (macimorelin), is the oral test indicated for the diagnosis of adult growth hormone deficiency (GHD). Macrilen is marketed in the U.S. through a license agreement with Novo Nordisk & the company receives royalties on sales. Aeterna owns all rights to macimorelin outside of the U.S. & Canada. It is leveraging the clinical success & safety profile of macimorelin to develop it for the diagnosis of child-onset GHD. The company is actively pursuing opportunities to commercialize macimorelin in the EU & the rest of the world.",https://www.zentaris.com,IR@aezsinc.com,+1 843 900-3223,"315 Sigma Drive, Suite 302D, Summerville, SC, US",11,53482263,0.24,62678613,,0.480930232,,2.44,0.49,-0.008375,69871,66089.0,108214.0,-3.692,9.9,389.89,-21.02,0.60167,0.6123,1.07068,,,equity,Company
